"","papers","ifact","years"
"1",1,1,-123.022175970889
"2",1,1.5,22.1230223955191
"3",1,2,-59.5396888817699
"4",1,2.5,-5.51610231037174
"5",1,3,20.7436404461433
"6",1,3.5,53.5937393363655
"7",1,4,43.1801049239367
"8",1,4.5,-611.397966414165
"9",1,5,13.9818146647325
"10",1,5.5,60.9479009375186
"11",1,6,13.1315852182161
"12",1,6.5,20.6357351080262
"13",1,7,63.5834029291675
"14",1,7.5,NA
"15",1,8,6.92318500187781
"16",1,8.5,-3.79062935697664
"17",1,9,-66.0314954830517
"18",1,9.5,32.855712172459
"19",1,10,-35.6639651827929
"20",1.5,1,-20.2579078077321
"21",1.5,1.5,31.5143821280716
"22",1.5,2,15.5900205707296
"23",1.5,2.5,32.855278191753
"24",1.5,3,29.3485884824509
"25",1.5,3.5,14.2913325831023
"26",1.5,4,15.059770062037
"27",1.5,4.5,17.0153741966569
"28",1.5,5,24.3151127398457
"29",1.5,5.5,8.29158695703267
"30",1.5,6,-34.8933364898821
"31",1.5,6.5,-356.402016480253
"32",1.5,7,-0.330879998562734
"33",1.5,7.5,19.7577365827326
"34",1.5,8,15.0552926306662
"35",1.5,8.5,13.2729458467029
"36",1.5,9,13.0183125900347
"37",1.5,9.5,NA
"38",1.5,10,19.6850781376729
"39",2,1,15.4017560026291
"40",2,1.5,9.58757455152553
"41",2,2,11.5067955981123
"42",2,2.5,11.3644919870117
"43",2,3,4.71127816984176
"44",2,3.5,-37.2422458775024
"45",2,4,26.944349160062
"46",2,4.5,8.57837887003511
"47",2,5,-11.7842784563921
"48",2,5.5,12.0472251404171
"49",2,6,51.2075059116342
"50",2,6.5,-5.45337952934648
"51",2,7,14.0462792457233
"52",2,7.5,21.9364119495591
"53",2,8,24.5299202508287
"54",2,8.5,21.8941150882682
"55",2,9,13.4552814404421
"56",2,9.5,25.1883663479223
"57",2,10,9.43962678980759
"58",2.5,1,15.0858221579178
"59",2.5,1.5,13.5706357067887
"60",2.5,2,8.34332611215954
"61",2.5,2.5,9.20796149071024
"62",2.5,3,12.2112240151599
"63",2.5,3.5,9.80982688499403
"64",2.5,4,9.261521815588
"65",2.5,4.5,7.38832742702642
"66",2.5,5,9.51777982736828
"67",2.5,5.5,5.4428070012413
"68",2.5,6,8.07769079284592
"69",2.5,6.5,8.45807626955006
"70",2.5,7,4.61125784628554
"71",2.5,7.5,8.63878482757995
"72",2.5,8,7.84240739986591
"73",2.5,8.5,8.19193935887073
"74",2.5,9,12.3702242379861
"75",2.5,9.5,19.4958872811147
"76",2.5,10,8.50247904888513
"77",3,1,11.7641258994157
"78",3,1.5,10.0422215806557
"79",3,2,12.1653080167555
"80",3,2.5,14.5779784753437
"81",3,3,7.0736568919063
"82",3,3.5,8.08365197441404
"83",3,4,6.99280952190194
"84",3,4.5,8.60349887994107
"85",3,5,9.85069873453595
"86",3,5.5,7.14706873954743
"87",3,6,6.00483195996183
"88",3,6.5,8.57395847122661
"89",3,7,8.28256722506397
"90",3,7.5,6.84858429704534
"91",3,8,8.26976414294576
"92",3,8.5,8.53289175470456
"93",3,9,5.31001675822675
"94",3,9.5,7.81303031689157
"95",3,10,7.9833608102877
"96",3.5,1,7.69332758470072
"97",3.5,1.5,5.53675277550728
"98",3.5,2,7.00176472222869
"99",3.5,2.5,7.17113004289951
"100",3.5,3,5.5665676399489
"101",3.5,3.5,8.39555644380949
"102",3.5,4,6.91660413558809
"103",3.5,4.5,8.13070161731966
"104",3.5,5,7.09416439042747
"105",3.5,5.5,9.5372236545101
"106",3.5,6,6.01542361046226
"107",3.5,6.5,6.62345866479738
"108",3.5,7,7.03525856837581
"109",3.5,7.5,6.05644366737537
"110",3.5,8,6.0524467457408
"111",3.5,8.5,6.01441949484041
"112",3.5,9,6.40253691164606
"113",3.5,9.5,4.50565906909125
"114",3.5,10,6.9285291293431
"115",4,1,8.09321697395063
"116",4,1.5,5.74059346344512
"117",4,2,6.83970277243568
"118",4,2.5,6.96514154617137
"119",4,3,5.625726407772
"120",4,3.5,6.66127095094307
"121",4,4,6.99682932671068
"122",4,4.5,5.67672897692287
"123",4,5,5.85899268763228
"124",4,5.5,6.64598990965751
"125",4,6,6.47872990240969
"126",4,6.5,4.50616180765242
"127",4,7,6.50430299954491
"128",4,7.5,8.09814178335325
"129",4,8,7.13492613133294
"130",4,8.5,5.43288110088374
"131",4,9,5.66094236159122
"132",4,9.5,5.76221351743517
"133",4,10,5.54813339196646
"134",4.5,1,4.3473660667034
"135",4.5,1.5,5.77882002194437
"136",4.5,2,4.37594862784829
"137",4.5,2.5,5.45831837164805
"138",4.5,3,5.95486404497479
"139",4.5,3.5,4.34964793110829
"140",4.5,4,4.52612136231242
"141",4.5,4.5,4.66255219884932
"142",4.5,5,5.35059723044056
"143",4.5,5.5,5.68317287714852
"144",4.5,6,5.81514525681784
"145",4.5,6.5,4.6788833391824
"146",4.5,7,5.69987495830244
"147",4.5,7.5,4.495243775215
"148",4.5,8,4.72527126256973
"149",4.5,8.5,5.72262102104035
"150",4.5,9,4.29672488550087
"151",4.5,9.5,5.37245712717261
"152",4.5,10,5.84663582823843
"153",5,1,6.41613092043561
"154",5,1.5,5.78513381642581
"155",5,2,5.49023990766864
"156",5,2.5,4.42402284189377
"157",5,3,4.3850115134007
"158",5,3.5,5.271834275459
"159",5,4,4.2875296335014
"160",5,4.5,5.66210686648385
"161",5,5,4.40470917760417
"162",5,5.5,5.55185551383611
"163",5,6,5.44307031762663
"164",5,6.5,5.37404490579738
"165",5,7,4.41123902641801
"166",5,7.5,4.52981742900528
"167",5,8,4.67712806467226
"168",5,8.5,4.77702513654922
"169",5,9,4.17185313536292
"170",5,9.5,4.72945816494929
"171",5,10,4.43748725066845
"172",5.5,1,5.40789306700588
"173",5.5,1.5,5.5780326974178
"174",5.5,2,4.41514515287198
"175",5.5,2.5,4.29640937134819
"176",5.5,3,3.17363148910573
"177",5.5,3.5,5.56163670702743
"178",5.5,4,4.32205804915444
"179",5.5,4.5,4.48637920871818
"180",5.5,5,4.34783576614528
"181",5.5,5.5,5.54794470017311
"182",5.5,6,4.26984434764633
"183",5.5,6.5,4.31444871591658
"184",5.5,7,4.09326509662276
"185",5.5,7.5,3.40296231018924
"186",5.5,8,4.46940221733283
"187",5.5,8.5,4.27963780885044
"188",5.5,9,4.43507397570697
"189",5.5,9.5,4.44974525476827
"190",5.5,10,4.36552207074015
"191",6,1,4.5044219872036
"192",6,1.5,3.17471492562957
"193",6,2,4.15447709001177
"194",6,2.5,4.31436147480855
"195",6,3,4.38651043349443
"196",6,3.5,3.28062534408453
"197",6,4,4.28396799923818
"198",6,4.5,3.34896833786485
"199",6,5,3.40397611237629
"200",6,5.5,4.30525801181862
"201",6,6,4.41046357881974
"202",6,6.5,4.41031373916639
"203",6,7,3.10464097227994
"204",6,7.5,4.32683150648564
"205",6,8,4.48616477433027
"206",6,8.5,4.28221821498625
"207",6,9,4.25153278607929
"208",6,9.5,3.368935206845
"209",6,10,4.53860090409119
"210",6.5,1,3.27897536633344
"211",6.5,1.5,4.41369032986715
"212",6.5,2,4.41091324716633
"213",6.5,2.5,4.29940630317688
"214",6.5,3,3.39498313024877
"215",6.5,3.5,3.21458616952038
"216",6.5,4,3.29159667912156
"217",6.5,4.5,3.28682990737171
"218",6.5,5,3.23658289664277
"219",6.5,5.5,4.22863014125315
