"","papers","ifact","years"
"1",1,1,40.9604228744617
"2",1,1.5,24.887571926055
"3",1,2,-4275.75319197869
"4",1,2.5,8.2427980287207
"5",1,3,25.1822888004407
"6",1,3.5,10.8259716552976
"7",1,4,-16.6362845966858
"8",1,4.5,7.86851963852646
"9",1,5,44.1189539313302
"10",1,5.5,9.85453532785501
"11",1,6,28.1392826292634
"12",1,6.5,38.6462455530726
"13",1,7,15.7127451345281
"14",1,7.5,10.875365414122
"15",1,8,-33.394766888372
"16",1,8.5,NA
"17",1,9,17.1835799610132
"18",1,9.5,62.930624471675
"19",1,10,29.8896983659739
"20",1.5,1,48.7875999402342
"21",1.5,1.5,43.3885822692759
"22",1.5,2,-57.5232816351922
"23",1.5,2.5,26.4820278329567
"24",1.5,3,21.6238917400417
"25",1.5,3.5,114.714295752168
"26",1.5,4,27.8851096474021
"27",1.5,4.5,16.0185159256824
"28",1.5,5,24.3859035470024
"29",1.5,5.5,24.3733850171758
"30",1.5,6,NA
"31",1.5,6.5,NA
"32",1.5,7,18.5931027993056
"33",1.5,7.5,25.2217708038434
"34",1.5,8,19.8055913135925
"35",1.5,8.5,15.786992247932
"36",1.5,9,16.1527705618275
"37",1.5,9.5,13.818569051997
"38",1.5,10,14.348314286604
"39",2,1,21.4072713048128
"40",2,1.5,49.0209229516187
"41",2,2,22.5468926998144
"42",2,2.5,13.4899732045547
"43",2,3,13.1709311204122
"44",2,3.5,17.6296903229238
"45",2,4,3.54313479583842
"46",2,4.5,7.44676084087785
"47",2,5,19.7854403860991
"48",2,5.5,3.95467305689402
"49",2,6,10.7892000539393
"50",2,6.5,-41.8011388904964
"51",2,7,21.8224263510438
"52",2,7.5,16.9668598624792
"53",2,8,6.26451332859035
"54",2,8.5,11.3560874762443
"55",2,9,3.76567305382482
"56",2,9.5,16.2249684096066
"57",2,10,9.61755433602688
"58",2.5,1,20.5348174166294
"59",2.5,1.5,17.6419078424677
"60",2.5,2,16.0406882118926
"61",2.5,2.5,14.6673733683679
"62",2.5,3,12.5845188744096
"63",2.5,3.5,8.60856245113989
"64",2.5,4,24.4286949619114
"65",2.5,4.5,10.417172690887
"66",2.5,5,19.4851691038266
"67",2.5,5.5,13.8927604740892
"68",2.5,6,10.5885686348983
"69",2.5,6.5,11.6701487401416
"70",2.5,7,8.07761505613907
"71",2.5,7.5,8.85092823854563
"72",2.5,8,11.505528246718
"73",2.5,8.5,12.969544988346
"74",2.5,9,6.81301475938857
"75",2.5,9.5,7.75830482769552
"76",2.5,10,8.85504209372974
"77",3,1,14.0184223876704
"78",3,1.5,13.0888012090269
"79",3,2,13.7160264687934
"80",3,2.5,11.4792283470057
"81",3,3,12.285409280963
"82",3,3.5,9.42439603697319
"83",3,4,8.57838319130036
"84",3,4.5,9.14921308254455
"85",3,5,8.65083777783157
"86",3,5.5,10.9411013023658
"87",3,6,6.96000617564948
"88",3,6.5,8.79739660743533
"89",3,7,8.20880318028284
"90",3,7.5,7.12072769655527
"91",3,8,7.93592137163117
"92",3,8.5,6.82395468233067
"93",3,9,11.4649069763113
"94",3,9.5,7.90359094731064
"95",3,10,8.0057169669587
"96",3.5,1,12.6854237540549
"97",3.5,1.5,11.5014073754043
"98",3.5,2,12.8945830713623
"99",3.5,2.5,12.1133242451143
"100",3.5,3,10.0034081965425
"101",3.5,3.5,8.42474383808125
"102",3.5,4,7.62395137724898
"103",3.5,4.5,8.29235292622993
"104",3.5,5,7.49704196130094
"105",3.5,5.5,8.25400202871309
"106",3.5,6,7.49232209853963
"107",3.5,6.5,10.9505197760503
"108",3.5,7,7.06112443847025
"109",3.5,7.5,8.08927754962425
"110",3.5,8,7.0364912743786
"111",3.5,8.5,6.76346755633542
"112",3.5,9,7.12808772282654
"113",3.5,9.5,6.53359289466087
"114",3.5,10,6.53020417991187
"115",4,1,9.96457909385204
"116",4,1.5,10.1876965128315
"117",4,2,9.06559527432488
"118",4,2.5,10.1932726086685
"119",4,3,9.10399088904544
"120",4,3.5,7.47779174022805
"121",4,4,8.12401885827267
"122",4,4.5,7.81034588091299
"123",4,5,6.89044248352321
"124",4,5.5,6.59878503665207
"125",4,6,6.95545470828497
"126",4,6.5,5.70705124897331
"127",4,7,7.26962186059634
"128",4,7.5,5.83844288212632
"129",4,8,5.92642739303383
"130",4,8.5,5.76049733308498
"131",4,9,7.01722939491177
"132",4,9.5,5.64673166524621
"133",4,10,5.73636121583701
"134",4.5,1,11.1371747000994
"135",4.5,1.5,11.2702876523528
"136",4.5,2,10.3301523501551
"137",4.5,2.5,7.72718330575607
"138",4.5,3,8.61218400858354
"139",4.5,3.5,8.81819365513743
"140",4.5,4,7.98000081166222
"141",4.5,4.5,7.79189790702697
"142",4.5,5,5.4550860602112
"143",4.5,5.5,5.41222686953101
"144",4.5,6,5.41741375027867
"145",4.5,6.5,7.27263740632438
"146",4.5,7,5.65852530466558
"147",4.5,7.5,5.39055531175964
"148",4.5,8,5.31329072554041
"149",4.5,8.5,5.58310889157159
"150",4.5,9,6.83291898350153
"151",4.5,9.5,4.47569195234306
"152",4.5,10,5.47700480404839
"153",5,1,9.93925321805285
"154",5,1.5,8.82514847623906
"155",5,2,8.93043693897035
"156",5,2.5,8.91597033537193
"157",5,3,8.67641297522478
"158",5,3.5,6.51874949144073
"159",5,4,6.38268701762908
"160",5,4.5,7.7337100041834
"161",5,5,6.45901020834535
"162",5,5.5,5.49216629678229
"163",5,6,6.42594858564511
"164",5,6.5,5.46478182285485
"165",5,7,5.64827976145995
"166",5,7.5,5.60414656246025
"167",5,8,5.63849468929864
"168",5,8.5,6.6839265025645
"169",5,9,5.56972616158054
"170",5,9.5,5.60272537767372
"171",5,10,4.21184691164581
"172",5.5,1,9.75715491748632
"173",5.5,1.5,9.55572517043547
"174",5.5,2,10.805373098287
"175",5.5,2.5,6.4516192192012
"176",5.5,3,7.67522244383222
"177",5.5,3.5,6.56647903991519
"178",5.5,4,6.74714366125513
"179",5.5,4.5,6.58325347721389
"180",5.5,5,5.58223128960421
"181",5.5,5.5,5.30137400895368
"182",5.5,6,6.64687810504383
"183",5.5,6.5,5.39868380994415
"184",5.5,7,4.52139244679394
"185",5.5,7.5,5.42108656209752
"186",5.5,8,5.40072665835983
"187",5.5,8.5,5.55030095572494
"188",5.5,9,4.32412423447023
"189",5.5,9.5,4.58172732878355
"190",5.5,10,4.23426811863346
"191",6,1,7.58007261662216
"192",6,1.5,11.5768011503198
"193",6,2,7.58826907479438
"194",6,2.5,7.81816612914217
"195",6,3,7.83949149075633
"196",6,3.5,5.41794117879066
"197",6,4,6.59694991073169
"198",6,4.5,6.60593118249789
"199",6,5,5.45258626255284
"200",6,5.5,5.65339349047483
"201",6,6,5.47599552489264
"202",6,6.5,5.37370605197189
"203",6,7,5.42108237750493
"204",6,7.5,5.54175044655089
"205",6,8,4.48472570626918
"206",6,8.5,5.49424070914943
"207",6,9,4.48981610797845
"208",6,9.5,4.0929625004929
"209",6,10,4.28392692576711
"210",6.5,1,8.82721962640757
"211",6.5,1.5,9.69115975003984
"212",6.5,2,7.58877100856074
"213",6.5,2.5,6.53966476711131
"214",6.5,3,6.6045012018698
"215",6.5,3.5,6.49054256455843
"216",6.5,4,5.48531420125154
"217",6.5,4.5,5.28522084348416
"218",6.5,5,5.62216421279031
"219",6.5,5.5,5.45059721716425
"220",6.5,6,5.16449771667398
"221",6.5,6.5,5.22867953938298
"222",6.5,7,4.28374228805742
"223",6.5,7.5,4.31600167483171
"224",6.5,8,5.22180504437322
"225",6.5,8.5,4.37378365917008
"226",6.5,9,4.48619029172165
"227",6.5,9.5,5.18692191745946
"228",6.5,10,4.3776734667974
"229",7,1,8.47897005365659
"230",7,1.5,7.43442977011258
"231",7,2,8.61638472882133
"232",7,2.5,6.63766819822561
"233",7,3,6.69739463530689
"234",7,3.5,5.51192539331095
"235",7,4,5.28576910836357
"236",7,4.5,5.22818657846705
"237",7,5,5.25425832971023
"238",7,5.5,5.235654374024
"239",7,6,4.39462051070999
"240",7,6.5,4.24530847567522
"241",7,7,4.25846840490454
"242",7,7.5,4.3136763108965
"243",7,8,4.28241665897776
"244",7,8.5,4.18809276957306
